"id","city_id","province_id","name"
"1","1","11","Kab. Aceh Selatan"
"2","2","11","Kab. Aceh Tenggara"
"3","3","11","Kab. Aceh Timur"
"4","4","11","Kab. Aceh Tengah"
"5","5","11","Kab. Aceh Barat"
"6","6","11","Kab. Aceh Besar"
"7","7","11","Kab. Pidie"
"8","8","11","Kab. Aceh Utara"
"9","9","11","Kab. Simeulue"
"10","10","11","Kab. Aceh Singkil"
"11","11","11","Kab. Bireuen"
"12","12","11","Kab. Aceh Barat Daya"
"13","13","11","Kab. Gayo Lues"
"14","14","11","Kab. Aceh Jaya"
"15","15","11","Kab. Nagan Raya"
"16","16","11","Kab. Aceh Tamiang"
"17","17","11","Kab. Bener Meriah"
"18","18","11","Kab. Pidie Jaya"
"19","71","11","Kota Banda Aceh"
"20","72","11","Kota Sabang"
"21","73","11","Kota Lhokseumawe"
"22","74","11","Kota Langsa"
"23","75","11","Kota Subulussalam"
"24","1","12","Kab. Tapanuli Tengah"
"25","2","12","Kab. Tapanuli Utara"
"26","3","12","Kab. Tapanuli Selatan"
"27","4","12","Kab. Nias"
"28","5","12","Kab. Langkat"
"29","6","12","Kab. Karo"
"30","7","12","Kab. Deli Serdang"
"31","8","12","Kab. Simalungun"
"32","9","12","Kab. Asahan"
"33","10","12","Kab. Labuhanbatu"
"34","11","12","Kab. Dairi"
"35","12","12","Kab. Toba"
"36","13","12","Kab. Mandailing Natal"
"37","14","12","Kab. Nias Selatan"
"38","15","12","Kab. Pakpak Bharat"
"39","16","12","Kab. Humbang Hasundutan"
"40","17","12","Kab. Samosir"
"41","18","12","Kab. Serdang Bedagai"
"42","19","12","Kab. Batu Bara"
"43","20","12","Kab. Padang Lawas Utara"
"44","21","12","Kab. Padang Lawas"
"45","22","12","Kab. Labuhanbatu Selatan"
"46","23","12","Kab. Labuhanbatu Utara"
"47","24","12","Kab. Nias Utara"
"48","25","12","Kab. Nias Barat"
"49","71","12","Kota Medan"
"50","72","12","Kota Pematangsiantar"
"51","73","12","Kota Sibolga"
"52","74","12","Kota Tanjung Balai"
"53","75","12","Kota Binjai"
"54","76","12","Kota Tebing Tinggi"
"55","77","12","Kota Padangsidimpuan"
"56","78","12","Kota Gunungsitoli"
"57","1","13","Kab. Pesisir Selatan"
"58","2","13","Kab. Solok"
"59","3","13","Kab. Sijunjung"
"60","4","13","Kab. Tanah Datar"
"61","5","13","Kab. Padang Pariaman"
"62","6","13","Kab. Agam"
"63","7","13","Kab. Lima Puluh Kota"
"64","8","13","Kab. Pasaman"
"65","9","13","Kab. Kepulauan Mentawai"
"66","10","13","Kab. Dharmasraya"
"67","11","13","Kab. Solok Selatan"
"68","12","13","Kab. Pasaman Barat"
"69","71","13","Kota Padang"
"70","72","13","Kota Solok"
"71","73","13","Kota Sawahlunto"
"72","74","13","Kota Padang Panjang"
"73","75","13","Kota Bukittinggi"
"74","76","13","Kota Payakumbuh"
"75","77","13","Kota Pariaman"
"76","1","14","Kab. Kampar"
"77","2","14","Kab. Indragiri Hulu"
"78","3","14","Kab. Bengkalis"
"79","4","14","Kab. Indragiri Hilir"
"80","5","14","Kab. Pelalawan"
"81","6","14","Kab. Rokan Hulu"
"82","7","14","Kab. Rokan Hilir"
"83","8","14","Kab. Siak"
"84","9","14","Kab. Kuantan Singingi"
"85","10","14","Kab. Kepulauan Meranti"
"86","71","14","Kota Pekanbaru"
"87","72","14","Kota Dumai"
"88","1","15","Kab. Kerinci"
"89","2","15","Kab. Merangin"
"90","3","15","Kab. Sarolangun"
"91","4","15","Kab. Batanghari"
"92","5","15","Kab. Muaro Jambi"
"93","6","15","Kab. Tanjung Jabung Barat"
"94","7","15","Kab. Tanjung Jabung Timur"
"95","8","15","Kab. Bungo"
"96","9","15","Kab. Tebo"
"97","71","15","Kota Jambi"
"98","72","15","Kota Sungai Penuh"
"99","1","16","Kab. Ogan Komering Ulu"
"100","2","16","Kab. Ogan Komering Ilir"
"101","3","16","Kab. Muara Enim"
"102","4","16","Kab. Lahat"
"103","5","16","Kab. Musi Rawas"
"104","6","16","Kab. Musi Banyuasin"
"105","7","16","Kab. Banyuasin"
"106","8","16","Kab. Ogan Komering Ulu Timur"
"107","9","16","Kab. Ogan Komering Ulu Selatan"
"108","10","16","Kab. Ogan Ilir"
"109","11","16","Kab. Empat Lawang"
"110","12","16","Kab. Penukal Abab Lematang Ilir"
"111","13","16","Kab. Musi Rawas Utara"
"112","71","16","Kota Palembang"
"113","72","16","Kota Pagar Alam"
"114","73","16","Kota Lubuk Linggau"
"115","74","16","Kota Prabumulih"
"116","1","17","Kab. Bengkulu Selatan"
"117","2","17","Kab. Rejang Lebong"
"118","3","17","Kab. Bengkulu Utara"
"119","4","17","Kab. Kaur"
"120","5","17","Kab. Seluma"
"121","6","17","Kab. Muko Muko"
"122","7","17","Kab. Lebong"
"123","8","17","Kab. Kepahiang"
"124","9","17","Kab. Bengkulu Tengah"
"125","71","17","Kota Bengkulu"
"126","1","18","Kab. Lampung Selatan"
"127","2","18","Kab. Lampung Tengah"
"128","3","18","Kab. Lampung Utara"
"129","4","18","Kab. Lampung Barat"
"130","5","18","Kab. Tulang Bawang"
"131","6","18","Kab. Tanggamus"
"132","7","18","Kab. Lampung Timur"
"133","8","18","Kab. Way Kanan"
"134","9","18","Kab. Pesawaran"
"135","10","18","Kab. Pringsewu"
"136","11","18","Kab. Mesuji"
"137","12","18","Kab. Tulang Bawang Barat"
"138","13","18","Kab. Pesisir Barat"
"139","71","18","Kota Bandar Lampung"
"140","72","18","Kota Metro"
"141","1","19","Kab. Bangka"
"142","2","19","Kab. Belitung"
"143","3","19","Kab. Bangka Selatan"
"144","4","19","Kab. Bangka Tengah"
"145","5","19","Kab. Bangka Barat"
"146","6","19","Kab. Belitung Timur"
"147","71","19","Kota Pangkal Pinang"
"148","1","21","Kab. Bintan"
"149","2","21","Kab. Karimun"
"150","3","21","Kab. Natuna"
"151","4","21","Kab. Lingga"
"152","5","21","Kab. Kepulauan Anambas"
"153","71","21","Kota Batam"
"154","72","21","Kota Tanjung Pinang"
"155","1","31","Kab. Adm. Kep. Seribu"
"156","71","31","Kota Adm. Jakarta Pusat"
"157","72","31","Kota Adm. Jakarta Utara"
"158","73","31","Kota Adm. Jakarta Barat"
"159","74","31","Kota Adm. Jakarta Selatan"
"160","75","31","Kota Adm. Jakarta Timur"
"161","1","32","Kab. Bogor"
"162","2","32","Kab. Sukabumi"
"163","3","32","Kab. Cianjur"
"164","4","32","Kab. Bandung"
"165","5","32","Kab. Garut"
"166","6","32","Kab. Tasikmalaya"
"167","7","32","Kab. Ciamis"
"168","8","32","Kab. Kuningan"
"169","9","32","Kab. Cirebon"
"170","10","32","Kab. Majalengka"
"171","11","32","Kab. Sumedang"
"172","12","32","Kab. Indramayu"
"173","13","32","Kab. Subang"
"174","14","32","Kab. Purwakarta"
"175","15","32","Kab. Karawang"
"176","16","32","Kab. Bekasi"
"177","17","32","Kab. Bandung Barat"
"178","18","32","Kab. Pangandaran"
"179","71","32","Kota Bogor"
"180","72","32","Kota Sukabumi"
"181","73","32","Kota Bandung"
"182","74","32","Kota Cirebon"
"183","75","32","Kota Bekasi"
"184","76","32","Kota Depok"
"185","77","32","Kota Cimahi"
"186","78","32","Kota Tasikmalaya"
"187","79","32","Kota Banjar"
"188","1","33","Kab. Cilacap"
"189","2","33","Kab. Banyumas"
"190","3","33","Kab. Purbalingga"
"191","4","33","Kab. Banjarnegara"
"192","5","33","Kab. Kebumen"
"193","6","33","Kab. Purworejo"
"194","7","33","Kab. Wonosobo"
"195","8","33","Kab. Magelang"
"196","9","33","Kab. Boyolali"
"197","10","33","Kab. Klaten"
"198","11","33","Kab. Sukoharjo"
"199","12","33","Kab. Wonogiri"
"200","13","33","Kab. Karanganyar"
"201","14","33","Kab. Sragen"
"202","15","33","Kab. Grobogan"
"203","16","33","Kab. Blora"
"204","17","33","Kab. Rembang"
"205","18","33","Kab. Pati"
"206","19","33","Kab. Kudus"
"207","20","33","Kab. Jepara"
"208","21","33","Kab. Demak"
"209","22","33","Kab. Semarang"
"210","23","33","Kab. Temanggung"
"211","24","33","Kab. Kendal"
"212","25","33","Kab. Batang"
"213","26","33","Kab. Pekalongan"
"214","27","33","Kab. Pemalang"
"215","28","33","Kab. Tegal"
"216","29","33","Kab. Brebes"
"217","71","33","Kota Magelang"
"218","72","33","Kota Surakarta"
"219","73","33","Kota Salatiga"
"220","74","33","Kota Semarang"
"221","75","33","Kota Pekalongan"
"222","76","33","Kota Tegal"
"223","1","34","Kab. Kulon Progo"
"224","2","34","Kab. Bantul"
"225","3","34","Kab. Gunungkidul"
"226","4","34","Kab. Sleman"
"227","71","34","Kota Yogyakarta"
"228","1","35","Kab. Pacitan"
"229","2","35","Kab. Ponorogo"
"230","3","35","Kab. Trenggalek"
"231","4","35","Kab. Tulungagung"
"232","5","35","Kab. Blitar"
"233","6","35","Kab. Kediri"
"234","7","35","Kab. Malang"
"235","8","35","Kab. Lumajang"
"236","9","35","Kab. Jember"
"237","10","35","Kab. Banyuwangi"
"238","11","35","Kab. Bondowoso"
"239","12","35","Kab. Situbondo"
"240","13","35","Kab. Probolinggo"
"241","14","35","Kab. Pasuruan"
"242","15","35","Kab. Sidoarjo"
"243","16","35","Kab. Mojokerto"
"244","17","35","Kab. Jombang"
"245","18","35","Kab. Nganjuk"
"246","19","35","Kab. Madiun"
"247","20","35","Kab. Magetan"
"248","21","35","Kab. Ngawi"
"249","22","35","Kab. Bojonegoro"
"250","23","35","Kab. Tuban"
"251","24","35","Kab. Lamongan"
"252","25","35","Kab. Gresik"
"253","26","35","Kab. Bangkalan"
"254","27","35","Kab. Sampang"
"255","28","35","Kab. Pamekasan"
"256","29","35","Kab. Sumenep"
"257","71","35","Kota Kediri"
"258","72","35","Kota Blitar"
"259","73","35","Kota Malang"
"260","74","35","Kota Probolinggo"
"261","75","35","Kota Pasuruan"
"262","76","35","Kota Mojokerto"
"263","77","35","Kota Madiun"
"264","78","35","Kota Surabaya"
"265","79","35","Kota Batu"
