"id","district_id","province_id","city_id","name"
"1","1","11","1","Bakongan"
"2","2","11","1","Kluet Utara"
"3","3","11","1","Kluet Selatan"
"4","4","11","1","Labuhan Haji"
"5","5","11","1","Meukek"
"6","6","11","1","Samadua"
"7","7","11","1","Sawang"
"8","8","11","1","Tapaktuan"
"9","9","11","1","Trumon"
"10","10","11","1","Pasi Raja"
"11","11","11","1","Labuhan Haji Timur"
"12","12","11","1","Labuhan Haji Barat"
"13","13","11","1","Kluet Tengah"
"14","14","11","1","Kluet Timur"
"15","15","11","1","Bakongan  Timur"
"16","16","11","1","Trumon Timur"
"17","17","11","1","Kota Bahagia"
"18","18","11","1","Trumon Tengah"
"19","1","11","2","Lawe Alas"
"20","2","11","2","Lawe Sigala-Gala"
"21","3","11","2","Bambel"
"22","4","11","2","Babussalam"
"23","5","11","2","Badar"
"24","6","11","2","Babul Makmur"
"25","7","11","2","Darul Hasanah"
"26","8","11","2","Lawe Bulan"
"27","9","11","2","Bukit Tusam"
"28","10","11","2","Semadam"
"29","11","11","2","Babul Rahmah"
"30","12","11","2","Ketambe"
"31","13","11","2","Deleng Pokhkisen"
"32","14","11","2","Lawe Sumur"
"33","15","11","2","Tanoh Alas"
"34","16","11","2","Leuser"
"35","1","11","3","Darul Aman"
"36","2","11","3","Julok"
"37","3","11","3","Idi Rayeuk"
"38","4","11","3","Birem Bayeun"
"39","5","11","3","Serbajadi"
"40","6","11","3","Nurussalam"
"41","7","11","3","Peureulak"
"42","8","11","3","Rantau Selamat"
"43","9","11","3","Simpang Ulim"
"44","10","11","3","Rantau Peureulak"
"45","11","11","3","Pante Bidari"
"46","12","11","3","Madat"
"47","13","11","3","Indra Makmu"
"48","14","11","3","Idi Tunong"
"49","15","11","3","Banda Alam"
"50","16","11","3","Peudawa"
"51","17","11","3","Peureulak  Timur"
"52","18","11","3","Peureulak Barat"
"53","19","11","3","Sungai Raya"
"54","20","11","3","Simpang Jernih"
"55","21","11","3","Darul Ihsan"
"56","22","11","3","Darul Falah"
"57","23","11","3","Idi Timur"
"58","24","11","3","Peunaron"
"59","1","11","4","Linge"
"60","2","11","4","Silih Nara"
"61","3","11","4","Bebesen"
"62","7","11","4","Pegasing"
"63","8","11","4","Bintang"
"64","10","11","4","Ketol"
"65","11","11","4","Kebayakan"
"66","12","11","4","Kute Panang"
"67","13","11","4","Celala"
"68","17","11","4","Laut Tawar"
"69","18","11","4","Atu Lintang"
"70","19","11","4","Jagong Jeget"
"71","20","11","4","Bies"
"72","21","11","4","Rusip Antara"
"73","1","11","5","Johan Pahwalan"
"74","2","11","5","Kaway XVI"
"75","3","11","5","Sungai Mas"
"76","4","11","5","Woyla"
"77","5","11","5","Samatiga"
"78","6","11","5","Bubon"
"79","7","11","5","Arongan Lambalek"
"80","8","11","5","Pante Ceureumen"
"81","9","11","5","Meureubo"
"82","10","11","5","Woyla Barat"
"83","11","11","5","Woyla Timur"
"84","12","11","5","Panton Reu"
"85","1","11","6","Lhoong"
"86","2","11","6","Lhoknga"
"87","3","11","6","Indrapuri"
"88","4","11","6","Seulimeum"
"89","5","11","6","Montasik"
"90","6","11","6","Sukamakmur"
"91","7","11","6","Darul Imarah"
"92","8","11","6","Peukan Bada"
"93","9","11","6","Mesjid Raya"
"94","10","11","6","Ingin Jaya"
"95","11","11","6","Kuta Baro"
"96","12","11","6","Darussalam"
"97","13","11","6","Pulo Aceh"
"98","14","11","6","Lembah Seulawah"
"99","15","11","6","Kota Jantho"
"100","16","11","6","Kota Cot Glie"
"101","17","11","6","Kuta Malaka"
"102","18","11","6","Simpang Tiga"
"103","19","11","6","Darul Kamal"
"104","20","11","6","Baitussalam"
"105","21","11","6","Krueng Barona Jaya"
"106","22","11","6","Leupung"
"107","23","11","6","Blang Bintang"
"108","3","11","7","Batee"
"109","4","11","7","Delima"
"110","5","11","7","Geumpang"
"111","6","11","7","Geulumpang  Tiga"
"112","7","11","7","Indra Jaya"
"113","8","11","7","Kembang Tanjong"
"114","9","11","7","Kota Sigli"
"115","11","11","7","Mila"
"116","12","11","7","Muara Tiga"
"117","13","11","7","Mutiara"
"118","14","11","7","Padang Tiji"
"119","15","11","7","Peukan Baro"
"120","16","11","7","Pidie"
"121","17","11","7","Sakti"
"122","18","11","7","Simpang Tiga"
"123","19","11","7","Tangse"
"124","21","11","7","Tiro/Truseb"
"125","22","11","7","Keumala"
"126","24","11","7","Mutiara Timur"
"127","25","11","7","Grong-grong"
"128","27","11","7","Mane"
"129","29","11","7","Glumpang  Baro"
"130","31","11","7","Titeue"
"131","1","11","8","Baktiya"
"132","2","11","8","Dewantara"
"133","3","11","8","Kuta Makmur"
"134","4","11","8","Lhoksukon"
"135","5","11","8","Matangkuli"
"136","6","11","8","Muara Batu"
"137","7","11","8","Meurah Mulia"
"138","8","11","8","Samudera"
"139","9","11","8","Seunuddon"
"140","10","11","8","Syamtalira Aron"
"141","11","11","8","Syamtalira Bayu"
"142","12","11","8","Tanah Luas"
"143","13","11","8","Tanah Pasir"
"144","14","11","8","T. Jambo Aye"
"145","15","11","8","Sawang"
"146","16","11","8","Nisam"
"147","17","11","8","Cot Girek"
"148","18","11","8","Langkahan"
"149","19","11","8","Baktiya Barat"
"150","20","11","8","Paya Bakong"
"151","21","11","8","Nibong"
"152","22","11","8","Simpang Kramat"
"153","23","11","8","Lapang"
"154","24","11","8","Pirak Timur"
"155","25","11","8","Geuredong Pase"
"156","26","11","8","Banda Baro"
"157","27","11","8","Nisam Antara"
"158","1","11","9","Simeulue Tengah"
"159","2","11","9","Salang"
"160","3","11","9","Teupah Barat"
"161","4","11","9","Simeulue Timur"
"162","5","11","9","Teluk Dalam"
"163","6","11","9","Simeulue Barat"
"164","7","11","9","Teupah Selatan"
"165","8","11","9","Alapan"
"166","9","11","9","Teupah Tengah"
"167","10","11","9","Simeulue Cut"
"168","1","11","10","Pulau Banyak"
"169","2","11","10","Simpang Kanan"
"170","4","11","10","Singkil"
"171","6","11","10","Gunung Meriah"
"172","9","11","10","Kota Baharu"
"173","10","11","10","Singkil Utara"
"174","11","11","10","Danau Paris"
"175","12","11","10","Suro Makmur"
"176","13","11","10","Singkohor"
"177","14","11","10","Kuala Baru"
"178","16","11","10","Pulau Banyak Barat"
"179","1","11","11","Samalanga"
"180","2","11","11","Jeunieb"
"181","3","11","11","Peudada"
"182","4","11","11","Jeumpa"
"183","5","11","11","Peusangan"
"184","6","11","11","Makmur"
"185","7","11","11","Gandapura"
"186","8","11","11","Pandrah"
"187","9","11","11","Juli"
"188","10","11","11","Jangka"
"189","11","11","11","Simpang Mamplam"
"190","12","11","11","Peulimbang"
"191","13","11","11","Kota Juang"
"192","14","11","11","Kuala"
"193","15","11","11","Peusangan Siblah Krueng"
"194","16","11","11","Peusangan  Selatan"
"195","17","11","11","Kuta Blang"
"196","1","11","12","Blang Pidie"
"197","2","11","12","Tangan-Tangan"
"198","3","11","12","Manggeng"
"199","4","11","12","Susoh"
"200","5","11","12","Kuala Batee"
"201","6","11","12","Babah Rot"
"202","7","11","12","Setia"
"203","8","11","12","Jeumpa"
"204","9","11","12","Lembah Sabil"
"205","1","11","13","Blangkejeren"
"206","2","11","13","Kutapanjang"
"207","3","11","13","Rikit Gaib"
"208","4","11","13","Terangun"
"209","5","11","13","Pining"
"210","6","11","13","Blangpegayon"
"211","7","11","13","Puteri Betung"
"212","8","11","13","Dabun Gelang"
"213","9","11","13","Blangjerango"
"214","10","11","13","Teripe Jaya"
"215","11","11","13","Pantan Cuaca"
"216","1","11","14","Teunom"
"217","2","11","14","Krueng Sabee"
"218","3","11","14","Setia Bhakti"
"219","4","11","14","Sampoiniet"
"220","5","11","14","Jaya"
"221","6","11","14","Panga"
"222","7","11","14","Indra Jaya"
"223","8","11","14","Darul Hikmah"
"224","9","11","14","Pasie Raya"
"225","1","11","15","Kuala"
"226","2","11","15","Seunagan"
"227","3","11","15","Seunagan Timur"
"228","4","11","15","Beutong"
"229","5","11","15","Darul Makmur"
"230","6","11","15","Suka Makmue"
"231","7","11","15","Kuala Pesisir"
"232","8","11","15","Tadu Raya"
"233","9","11","15","Tripa Makmur"
"234","10","11","15","Beutong Ateuh Banggalang"
"235","1","11","16","Manyak Payed"
"236","2","11","16","Bendahara"
"237","3","11","16","Karang Baru"
"238","4","11","16","Seruway"
"239","5","11","16","Kota Kualasinpang"
"240","6","11","16","Kejuruan Muda"
"241","7","11","16","Tamiang Hulu"
"242","8","11","16","Rantau"
"243","9","11","16","Banda Mulia"
"244","10","11","16","Bandar Pusaka"
"245","11","11","16","Tenggulun"
"246","12","11","16","Sekerak"
"247","1","11","17","Pintu Rime Gayo"
"248","2","11","17","Permata"
"249","3","11","17","Syiah Utama"
"250","4","11","17","Bandar"
"251","5","11","17","Bukit"
"252","6","11","17","Wih Pesam"
"253","7","11","17","Timang gajah"
"254","8","11","17","Bener Kelipah"
"255","9","11","17","Mesidah"
"256","10","11","17","Gajah Putih"
"257","1","11","18","Meureudu"
"258","2","11","18","Ulim"
"259","3","11","18","Jangka Buaya"
"260","4","11","18","Bandar Dua"
"261","5","11","18","Meurah Dua"
"262","6","11","18","Bandar Baru"
"263","7","11","18","Panteraja"
"264","8","11","18","Trienggadeng"
"265","1","11","71","Baiturrahman"
"266","2","11","71","Kuta Alam"
"267","3","11","71","Meuraxa"
"268","4","11","71","Syiah Kuala"
"269","5","11","71","Lueng Bata"
"270","6","11","71","Kuta Raja"
"271","7","11","71","Banda Raya"
"272","8","11","71","Jaya Baru"
"273","9","11","71","Ulee Kareng"
"274","1","11","72","Sukakarya"
"275","2","11","72","Sukajaya"
"276","3","11","72","Sukamakmue"
"277","1","11","73","Muara Dua"
"278","2","11","73","Banda Sakti"
"279","3","11","73","Blang Mangat"
"280","4","11","73","Muara Satu"
"281","1","11","74","Langsa Timur"
"282","2","11","74","Langsa Barat"
"283","3","11","74","Langsa Kota"
"284","4","11","74","Langsa Lama"
"285","5","11","74","Langsa Baro"
"286","1","11","75","Simpang Kiri"
