"id","sub_district_id","province_id","city_id","district_id","name"
"1","2001","11","1","1","Keude Bakongan"
"2","2002","11","1","1","Ujong Mangki"
"3","2003","11","1","1","Ujong Padang"
"4","2004","11","1","1","Gampong Drien"
"5","2015","11","1","1","Darul Ikhsan"
"6","2016","11","1","1","Padang Beurahan"
"7","2017","11","1","1","Gampong Baro"
"8","2001","11","1","2","Fajar Harapan"
"9","2002","11","1","2","Krueng Batee"
"10","2003","11","1","2","Pasi Kuala Asahan"
"11","2004","11","1","2","Gunung Pulo"
"12","2005","11","1","2","Pulo Ie I"
"13","2006","11","1","2","Jambo Manyang"
"14","2007","11","1","2","Simpang Empat"
"15","2008","11","1","2","Limau Purut"
"16","2009","11","1","2","Pulo Kambing"
"17","2010","11","1","2","Kampung Paya"
"18","2011","11","1","2","Krueng Batu"
"19","2012","11","1","2","Krueng Kluet"
"20","2013","11","1","2","Alur Mas"
"21","2014","11","1","2","Kampung Tinggi"
"22","2015","11","1","2","Ruak"
"23","2016","11","1","2","Simpang Lhee"
"24","2017","11","1","2","Suaq Geuringgeng"
"25","2018","11","1","2","Pasi Kuala Ba'u"
"26","2019","11","1","2","Kedai Padang"
"27","2020","11","1","2","Kotafajar"
"28","2021","11","1","2","Gunung Pudung"
"29","2001","11","1","3","Suaq Bakung"
"30","2002","11","1","3","Rantau Binuang"
"31","2003","11","1","3","Barat Daya"
"32","2004","11","1","3","Sialang"
"33","2005","11","1","3","Kapeh"
"34","2006","11","1","3","Pulo Ie"
"35","2007","11","1","3","Kedai Runding"
"36","2008","11","1","3","Kedai Kandang"
"37","2009","11","1","3","Gampong Luar"
"38","2010","11","1","3","Ujung"
"39","2011","11","1","3","Jua"
"40","2012","11","1","3","Pasi Meurapat"
"41","2013","11","1","3","Ujung Pasir"
"42","2014","11","1","3","Geulumbuk"
"43","2015","11","1","3","Pasie Lembang"
"44","2016","11","1","3","Ujung Padang"
"45","2017","11","1","3","Indra Damai"
"46","2001","11","1","4","Bakau Hulu"
"47","2002","11","1","4","Padang Bakau"
"48","2003","11","1","4","Manggis Harapan"
"49","2004","11","1","4","Pasar Lama"
"50","2005","11","1","4","Apha"
"51","2006","11","1","4","Ujung Batu"
"52","2007","11","1","4","Pawoh"
"53","2008","11","1","4","Dalam"
"54","2009","11","1","4","Kota Palak"
"55","2010","11","1","4","Cacang"
"56","2011","11","1","4","Tengah Pisang"
"57","2012","11","1","4","Pisang"
"58","2013","11","1","4","Hulu Pisang"
"59","2014","11","1","4","Tengah Baru"
"60","2015","11","1","4","Lembah Baru"
"61","2016","11","1","4","Padang Baru"
"62","2001","11","1","5","Kuta Buloh II"
"63","2002","11","1","5","Kuta Buloh I"
"64","2003","11","1","5","Ie Dingen"
"65","2004","11","1","5","Drien Jalo"
"66","2005","11","1","5","Jambo Papeun"
"67","2006","11","1","5","Buket Meuh"
"68","2007","11","1","5","Blang Kuala"
"69","2008","11","1","5","Rot Teungoh"
"70","2009","11","1","5","Alue Baro"
"71","2010","11","1","5","Ladang Tuha"
"72","2011","11","1","5","Lhok Mamplam"
"73","2012","11","1","5","Arun Tunggai"
"74","2013","11","1","5","Blang Teungoh"
"75","2014","11","1","5","Blang Bladeh"
"76","2015","11","1","5","Ie Buboh"
"77","2016","11","1","5","Keude Meukek"
"78","2017","11","1","5","Kuta Baro"
"79","2018","11","1","5","Tanjung Harapan"
"80","2019","11","1","5","Labuhan Tarok"
"81","2020","11","1","5","Lhok Aman"
"82","2021","11","1","5","Alue Meutuah"
"83","2022","11","1","5","Ladang Baro"
"84","2023","11","1","5","Labuhan Tarok II"
"85","2001","11","1","6","Dalam"
"86","2002","11","1","6","Subarang"
"87","2003","11","1","6","Kuta Baru"
"88","2004","11","1","6","Gunung Ketek"
"89","2005","11","1","6","Ladang Panton Luas"
"90","2006","11","1","6","Madat"
"91","2007","11","1","6","Alur Seumerah"
"92","2008","11","1","6","Tengah"
"93","2009","11","1","6","Gunung Cut"
"94","2010","11","1","6","Alur Pinang"
"95","2011","11","1","6","Kuta Blang"
"96","2012","11","1","6","Batee Tunggai"
"97","2013","11","1","6","Ujung Tanah"
"98","2014","11","1","6","Ujung Kampung"
"99","2015","11","1","6","Jilatang"
"100","2016","11","1","6","Luar"
"101","2017","11","1","6","Lubuk Layu"
"102","2018","11","1","6","Suaq Hulu"
"103","2019","11","1","6","Tampang"
"104","2020","11","1","6","Payonan Gadang"
"105","2021","11","1","6","Gadang"
"106","2022","11","1","6","Baru"
"107","2023","11","1","6","Ladang Kasik Putih"
"108","2024","11","1","6","Air Sialang Hilir."
"109","2025","11","1","6","Air Sialang Hulu"
